respondent_id,UGorGRAD,class_level,first_choice,gender,I01_importance,I01_satisfaction,I02_importance,I02_satisfaction,I03_importance,I03_satisfaction,I04_importance,I04_satisfaction,I05_importance,I05_satisfaction,I06_importance,I06_satisfaction,I07_importance,I07_satisfaction,I08_importance,I08_satisfaction,I09_importance,I09_satisfaction,I10_importance,I10_satisfaction,I11_importance,I11_satisfaction,I12_importance,I12_satisfaction
S330530,GRAD,Doctoral,Yes,Female,6.48,6.2,5.95,5.7,5.48,5.18,5.65,5.15,5.36,4.06,5.69,4.57,5.42,4.39,5.98,4.83,5.77,5.64,5.67,5.18,5.6,4.62,5.59,4.96
S709705,UG,Sophomore,Yes,Male,4.7,3.24,5.52,3.84,5.26,3.51,4.69,4.74,5.34,3.75,6.32,5.24,5.09,4.21,6.46,6.51,5.68,4.66,6.58,5.56,5.02,5.17,5.87,4.64
S412540,GRAD,Masters,No,Male,6.32,5.79,5.2,4.66,5.89,5.35,5.81,4.33,5.31,4.63,6.36,4.69,6.22,5.13,5.87,5.23,5.89,5.6,5.81,5.23,5.66,4.99,5.9,5.27
S726700,GRAD,Masters,Yes,Female,6.38,6.63,5.17,4.48,6.69,6.08,5.68,5.23,5.28,5.83,5.22,4.85,6.19,5.39,5.19,3.92,5.77,4.9,5.22,3.76,4.37,3.47,5.79,6.32
S844175,UG,Junior,No,Female,5.05,4.7,6.02,4.92,5.78,5.22,5.79,5.13,5.31,4.82,5.38,5.13,5.01,3.29,5.73,4.34,5.93,5.71,5.27,5.02,5.9,4.63,6.0,5.19
S012992,UG,Junior,Yes,Male,5.45,4.14,6.44,5.67,6.3,5.49,5.39,3.89,5.47,4.98,4.91,4.46,6.14,5.32,4.88,4.0,5.51,3.93,6.06,4.73,5.97,4.94,5.02,4.4
S473210,UG,Sophomore,Yes,Male,5.04,4.41,5.32,4.66,4.87,5.04,7.0,6.92,5.32,4.75,5.95,5.14,6.62,6.11,6.33,6.39,5.74,5.42,6.48,6.16,6.71,5.86,5.82,5.23
S092841,UG,Senior,No,Male,5.57,4.95,5.98,5.67,5.79,5.17,6.52,6.18,5.82,5.02,6.1,5.17,6.84,6.4,5.75,4.87,4.96,4.18,5.87,5.87,5.58,4.78,5.77,5.18
S009470,GRAD,Masters,Yes,Male,5.52,4.84,4.45,3.12,5.04,4.99,4.95,4.9,5.92,4.76,4.89,4.49,7.0,6.28,4.64,4.33,5.51,4.74,6.11,5.39,5.95,5.08,5.84,5.13
S901422,GRAD,Masters,Yes,Female,6.17,5.32,5.35,3.85,4.81,4.15,5.84,5.27,5.15,3.92,5.43,5.78,5.16,5.78,5.52,4.75,6.53,6.22,6.07,5.59,5.18,5.06,5.74,5.11
S016102,UG,Sophomore,Yes,Female,6.49,5.23,5.68,5.82,5.26,4.06,5.34,4.42,6.46,5.85,4.89,3.96,7.0,6.39,5.98,5.68,5.89,5.12,6.55,6.41,5.49,5.21,4.94,4.25
S239237,UG,Sophomore,Yes,Male,6.54,5.11,5.15,4.97,6.42,5.39,5.09,4.02,5.11,3.86,5.16,3.47,5.49,4.89,5.5,5.31,5.69,4.7,4.53,4.67,4.78,4.05,4.91,4.0
S154933,UG,Sophomore,Yes,Male,5.36,4.84,5.14,4.58,6.27,6.76,4.9,2.91,4.73,3.85,6.03,5.1,5.34,5.33,5.53,5.87,6.84,5.66,6.1,5.4,5.58,4.8,4.37,3.89
S632572,UG,Sophomore,Yes,Male,5.57,5.54,5.3,5.08,5.85,4.12,5.96,6.38,5.93,5.2,5.26,4.26,5.9,5.66,4.97,3.65,4.88,3.79,6.29,5.1,5.52,5.73,6.19,5.73
S782304,UG,Sophomore,No,Male,4.69,4.0,5.88,4.72,4.78,3.73,5.29,4.09,5.21,3.86,5.52,4.33,5.35,4.05,6.04,5.34,5.03,4.22,4.9,3.7,5.88,4.75,6.2,4.61
S068846,UG,Junior,Yes,Male,5.22,4.39,5.59,5.25,5.58,5.27,6.28,5.86,5.89,5.16,4.72,3.83,5.94,5.12,5.31,4.53,6.73,6.1,5.17,4.44,5.33,4.24,6.21,5.23
S422420,GRAD,Doctoral,No,Female,6.28,5.96,4.36,2.47,5.88,5.0,6.3,5.79,4.26,2.43,5.81,4.55,4.91,4.06,4.41,3.61,5.73,3.75,5.19,4.15,5.75,4.99,5.88,4.67
S911505,UG,Junior,Yes,Female,6.67,6.45,4.43,3.13,5.81,5.02,6.52,6.13,6.54,6.55,5.67,4.78,5.56,4.7,5.48,5.31,5.55,4.38,5.26,4.58,5.5,3.61,4.42,3.11
S360792,UG,Junior,No,Female,4.96,3.89,5.34,4.33,4.59,4.03,5.19,4.74,6.1,5.46,5.26,4.52,6.47,5.53,6.29,6.02,4.98,4.54,5.41,5.23,5.5,4.94,5.08,3.92
S153554,GRAD,Masters,Yes,Female,5.34,4.77,5.97,4.86,5.17,4.47,5.99,4.54,4.8,4.26,5.59,5.38,5.67,4.44,5.47,5.37,5.97,5.32,5.85,5.96,5.75,5.33,5.8,4.74
S531897,UG,Senior,No,Male,5.68,4.77,4.05,2.6,5.66,5.07,6.08,4.76,4.81,3.69,5.81,5.03,5.78,4.82,6.74,6.2,6.03,5.29,6.22,5.42,5.72,5.02,5.78,5.67
S651838,GRAD,Masters,Yes,Nonbinary/Other,5.87,5.65,5.4,5.08,6.02,5.62,5.42,4.8,6.7,5.47,5.21,4.45,5.99,6.11,5.96,5.17,5.04,4.51,6.35,5.83,6.16,5.59,5.57,4.86
S458120,GRAD,Masters,Yes,Female,5.21,4.73,5.38,5.19,4.38,4.13,5.24,3.96,5.26,4.67,4.81,4.37,6.4,4.99,5.9,5.7,5.62,5.63,5.2,4.17,5.63,5.19,5.92,5.41
S795645,UG,Freshman,Yes,Female,5.95,5.72,6.53,5.79,5.6,5.62,6.67,6.72,5.2,5.21,6.78,5.93,4.71,3.82,5.62,4.05,5.5,5.0,5.19,4.11,5.49,5.49,5.71,4.17
S339523,UG,Senior,Yes,Male,5.42,4.27,5.47,4.34,5.79,5.01,5.84,5.8,4.34,3.22,5.32,4.4,6.05,5.65,5.66,4.45,5.85,4.25,6.49,5.49,5.59,5.16,5.77,4.61
S009080,UG,Junior,Yes,Female,5.69,4.47,5.93,5.16,6.21,5.22,6.08,6.47,5.49,4.41,5.64,4.53,5.54,5.47,5.54,4.44,5.03,4.04,6.09,5.53,5.27,4.62,5.32,4.93
S143442,UG,Senior,Yes,Male,6.03,6.25,5.78,5.87,6.12,5.16,5.21,4.86,5.56,5.83,6.31,4.97,5.8,4.9,5.52,4.88,6.45,7.0,5.75,5.74,5.48,4.17,6.29,5.4
S941267,UG,Sophomore,No,Male,5.7,5.27,4.42,3.92,6.05,4.74,4.97,3.99,6.13,5.23,7.0,6.06,6.34,5.49,6.02,4.36,6.25,4.74,5.98,4.88,6.92,4.92,5.44,4.46
S310908,UG,Junior,Yes,Male,5.44,5.49,6.16,5.5,5.22,4.36,5.36,4.61,4.86,4.96,4.95,4.91,4.98,3.5,5.14,4.55,5.48,4.24,5.68,4.72,5.15,3.78,4.9,3.97
S297189,UG,Sophomore,Yes,Female,5.63,5.26,5.83,5.17,4.56,4.12,5.63,4.85,4.79,4.42,5.97,5.44,5.09,4.57,5.05,4.37,5.57,5.05,6.01,6.51,5.53,5.22,5.24,5.05
S301260,UG,Junior,Yes,Female,5.65,4.99,6.0,4.32,5.46,4.34,5.06,5.07,5.97,5.72,5.28,4.55,4.54,4.26,5.03,4.24,5.62,4.56,5.5,5.22,5.47,5.12,5.49,4.61
S614850,UG,Freshman,No,Male,5.48,5.3,7.0,6.79,6.3,6.08,5.69,4.39,6.3,5.0,5.38,5.39,5.37,4.02,6.93,5.68,5.23,4.76,5.86,5.31,5.55,4.73,6.3,5.51
S989093,GRAD,Masters,Yes,Male,5.54,5.41,4.45,3.6,6.54,6.39,4.69,3.97,4.76,4.1,5.27,3.97,6.5,5.44,6.02,5.1,5.43,5.07,4.79,4.13,5.5,4.01,5.67,4.93
S604052,UG,Freshman,Yes,Female,6.66,6.46,6.73,5.29,6.13,5.91,5.03,3.96,6.35,6.29,5.02,4.25,5.63,4.84,5.88,5.42,5.54,4.09,5.29,4.99,5.87,5.25,5.59,5.25
S240030,UG,Senior,Yes,Male,6.04,5.23,5.53,3.69,5.96,4.72,6.1,6.35,5.72,4.58,5.68,4.78,4.9,3.86,5.07,4.63,6.67,6.1,5.29,4.61,4.67,4.64,4.95,4.54
S700894,UG,Sophomore,No,Female,5.52,4.59,5.87,5.17,5.93,4.56,6.06,5.01,6.36,6.17,4.82,3.23,5.41,4.53,6.07,4.85,6.27,6.3,5.48,4.68,6.32,5.67,6.17,4.68
S504093,GRAD,Masters,No,Male,6.12,5.68,5.67,4.63,5.37,4.32,5.46,5.26,5.66,4.69,6.27,5.78,4.81,3.89,5.63,4.47,6.26,5.49,5.14,4.42,6.08,4.9,5.31,5.03
S979958,UG,Freshman,Yes,Female,5.5,4.71,5.45,4.46,5.62,4.39,5.09,4.59,4.19,3.89,5.73,4.75,5.02,3.74,5.83,5.33,5.92,5.26,5.38,5.04,4.95,3.91,5.64,5.43
S132365,UG,Sophomore,No,Male,6.4,5.78,5.36,4.36,6.7,6.24,5.08,3.92,5.61,4.89,5.95,5.11,5.93,4.72,5.11,5.01,5.03,3.53,4.79,4.21,4.34,3.54,6.59,5.71
S453708,GRAD,Masters,No,Female,5.92,5.26,5.9,5.15,5.13,4.16,5.48,4.63,6.34,5.28,5.42,4.71,5.0,4.28,5.8,5.1,5.68,4.87,6.03,5.77,5.11,3.97,6.01,5.59
S563113,UG,Senior,Yes,Female,5.64,4.1,4.79,3.87,6.67,6.03,6.09,5.81,5.16,4.2,5.48,5.17,6.37,4.99,5.45,4.43,6.28,5.79,5.65,4.76,5.55,5.99,4.72,4.47
S146649,GRAD,Masters,No,Female,5.97,4.5,6.15,6.62,5.51,4.28,6.26,5.45,5.47,4.0,5.87,4.24,5.66,6.04,5.24,3.54,4.95,3.62,4.68,3.59,7.0,6.15,4.64,3.79
S115007,UG,Senior,Yes,Female,4.76,4.71,5.45,4.41,6.5,5.85,5.4,5.47,5.59,4.94,5.0,4.49,5.75,4.03,6.14,6.04,6.08,5.32,5.2,4.88,6.03,4.9,5.66,5.71
S183576,UG,Freshman,Yes,Male,5.02,3.91,5.02,4.26,4.86,4.35,5.01,3.73,3.96,3.11,5.49,4.44,5.53,5.69,4.78,4.29,7.0,6.68,5.9,4.44,4.62,4.33,4.97,4.78
S085555,UG,Sophomore,Yes,Nonbinary/Other,4.98,3.88,5.43,4.84,6.05,5.08,5.86,5.26,6.7,6.22,5.18,5.42,6.16,5.78,6.04,5.53,6.34,5.06,5.37,4.83,5.29,5.0,6.09,4.36
S722560,UG,Sophomore,Yes,Female,5.79,5.66,6.45,4.73,5.26,4.12,5.21,3.95,5.16,4.37,5.17,3.88,6.17,5.49,6.11,4.73,6.55,5.75,5.28,3.82,5.67,5.9,5.73,4.8
S320134,UG,Freshman,Yes,Female,6.74,5.63,5.38,5.02,4.85,4.49,5.39,4.95,6.0,5.08,4.43,3.21,5.9,5.27,5.17,4.49,5.83,5.13,5.66,5.28,5.85,4.36,5.8,5.47
S692970,GRAD,Masters,No,Male,7.0,5.43,5.92,5.32,5.83,5.06,6.5,5.96,5.65,4.9,6.5,5.65,6.04,4.74,5.21,4.86,6.28,5.39,5.91,6.12,4.91,4.47,5.28,4.27
S182124,UG,Freshman,Yes,Male,6.08,5.94,5.26,3.57,6.31,6.13,6.2,5.88,6.45,6.66,5.29,4.7,5.57,5.4,5.57,4.59,5.27,5.1,4.84,3.94,5.62,4.8,6.74,5.76
S620764,UG,Sophomore,Yes,Male,6.0,5.76,6.15,5.87,5.19,5.74,5.79,4.66,5.94,5.08,6.4,5.5,6.03,5.19,5.87,5.37,6.18,5.74,6.03,5.21,5.27,4.27,7.0,5.8
S443583,UG,Junior,Yes,Female,4.62,3.41,6.11,5.69,4.8,4.0,4.94,4.59,5.56,4.68,6.34,4.5,5.5,5.09,5.61,5.52,6.09,5.39,5.22,4.5,5.04,3.58,5.53,4.9
S978335,UG,Junior,No,Female,5.37,4.34,6.81,5.98,5.64,4.44,5.83,4.6,5.16,4.6,4.93,4.91,5.7,4.65,5.96,5.51,5.87,5.07,5.69,5.11,5.86,5.03,5.91,4.52
S829458,UG,Senior,Yes,Male,5.23,4.25,5.59,4.47,5.65,4.82,6.34,5.83,6.18,6.12,5.05,3.96,5.54,4.87,6.76,5.19,6.49,5.15,5.68,5.0,6.16,5.73,5.76,6.08
S024185,UG,Junior,Yes,Female,5.33,4.46,6.1,5.3,6.03,6.3,5.47,5.76,4.58,3.14,7.0,6.76,5.43,4.68,5.4,4.5,5.38,4.57,5.38,4.94,6.2,5.42,5.54,5.37
S300062,UG,Junior,Yes,Male,5.6,4.7,5.76,5.71,6.27,5.75,6.51,6.1,6.09,5.14,6.75,6.06,5.29,4.86,4.67,3.92,5.59,4.46,5.09,4.54,6.04,4.7,5.2,4.42
S367436,UG,Junior,Yes,Female,5.42,5.38,6.48,6.04,5.66,6.07,6.48,6.37,5.04,4.46,5.68,5.11,5.98,5.54,6.2,5.62,5.76,5.05,5.53,4.41,5.4,4.79,5.05,4.18
S399083,UG,Freshman,No,Male,4.51,3.09,5.27,4.67,6.81,5.23,6.7,5.78,6.45,6.12,5.85,5.17,6.49,5.44,6.71,5.66,5.08,3.65,6.68,5.68,6.13,5.71,5.02,4.57
S951370,UG,Junior,No,Female,6.15,4.66,6.15,5.29,5.83,5.48,5.88,5.58,5.8,5.31,5.32,4.43,6.4,5.03,5.94,4.9,5.84,4.74,4.88,3.68,5.89,5.76,5.94,4.91
S131134,UG,Junior,Yes,Male,5.06,4.47,5.58,4.67,5.49,4.16,6.05,4.89,6.09,4.74,5.96,5.83,4.95,4.55,5.05,4.2,4.67,3.96,6.72,6.13,5.78,5.69,5.39,5.0
S957060,UG,Senior,No,Female,5.84,4.97,5.66,4.55,4.73,3.36,6.55,5.69,5.75,4.78,5.27,3.86,6.47,6.01,5.63,4.67,6.33,5.43,5.54,4.82,5.33,4.0,4.15,3.39
S982516,GRAD,Masters,Yes,Male,6.94,7.0,5.76,6.04,5.54,5.39,5.97,5.46,4.65,4.32,4.48,4.78,5.51,4.6,5.03,3.99,5.73,5.61,5.72,5.7,5.4,4.96,5.97,4.85
S919211,UG,Junior,No,Female,5.15,3.99,5.85,4.42,5.5,5.16,5.4,4.17,5.18,4.03,4.91,3.74,6.06,5.18,6.09,5.17,5.39,4.23,5.05,4.33,5.74,5.15,5.68,4.32
S531180,UG,Sophomore,Yes,Male,4.18,3.2,5.63,4.8,6.28,5.4,5.43,4.25,6.1,5.81,5.71,5.18,5.16,4.04,4.89,4.68,5.2,4.52,5.24,6.2,7.0,6.66,6.51,6.31
S260337,UG,Senior,Yes,Male,5.53,4.86,5.83,4.44,5.98,5.7,5.84,5.15,5.8,4.35,5.02,4.91,5.79,5.54,5.52,5.13,5.56,5.11,5.4,4.99,5.88,5.14,5.92,5.75
S997459,GRAD,Doctoral,Yes,Male,6.36,5.2,6.65,5.82,4.99,4.34,4.93,4.71,6.41,5.13,5.66,4.96,5.89,6.18,5.1,5.49,6.11,4.96,5.07,4.51,5.33,4.85,4.81,4.42
S823446,GRAD,Masters,No,Male,6.88,6.24,6.29,4.94,5.8,5.24,5.61,5.7,5.94,5.38,5.06,5.03,4.81,4.28,5.78,3.96,6.03,5.85,5.57,4.49,5.2,4.54,4.36,3.58
S469215,UG,Senior,Yes,Male,4.96,3.98,6.22,5.29,6.1,6.29,6.36,6.0,5.12,4.73,5.23,4.51,6.06,5.75,5.48,4.35,5.28,4.79,5.46,4.89,5.4,4.03,5.27,4.9
S103035,UG,Senior,Yes,Male,6.0,5.81,5.43,4.05,6.62,7.0,4.39,3.99,5.22,5.83,6.21,6.22,6.51,5.85,5.81,5.52,5.19,3.98,6.81,5.94,7.0,5.53,5.32,4.1
S783438,GRAD,Masters,Yes,Female,5.42,4.83,5.17,4.31,6.23,5.52,6.62,5.97,5.76,5.9,5.85,5.02,5.6,5.31,5.71,5.25,6.09,5.34,5.0,5.49,5.46,5.67,6.27,5.49
S372299,UG,Freshman,No,Male,5.64,4.82,6.27,5.42,6.16,5.54,6.37,5.65,4.31,4.08,5.69,5.26,6.52,5.25,5.11,4.53,5.27,4.39,5.76,4.89,6.24,5.18,5.69,4.59
S560118,UG,Junior,Yes,Female,7.0,6.19,6.23,4.39,5.74,5.31,5.42,4.38,6.7,5.94,6.23,5.75,5.59,5.03,6.08,4.6,5.74,4.91,5.85,5.99,5.47,5.16,6.38,6.31
S307854,UG,Senior,No,Female,4.8,4.08,6.58,5.24,5.93,4.69,6.03,5.43,5.97,5.23,5.99,4.94,6.21,5.23,5.67,5.48,5.77,4.78,5.06,4.76,5.86,5.08,4.91,3.42
S029569,UG,Junior,No,Female,5.85,5.02,5.34,4.15,6.45,4.96,5.7,4.83,6.44,6.21,6.57,6.05,4.37,3.39,5.11,4.15,5.89,5.75,6.11,5.31,6.18,5.12,6.28,6.79
S348915,GRAD,Masters,Yes,Female,5.98,4.97,5.56,5.6,4.9,4.44,6.44,5.25,4.75,4.29,5.42,4.85,7.0,6.3,7.0,6.45,6.21,5.79,5.46,4.22,5.36,4.86,6.13,5.12
S553785,GRAD,Masters,No,Male,6.35,5.77,4.72,4.56,5.49,4.86,6.29,5.32,6.45,5.39,5.44,5.4,6.6,5.81,5.99,4.77,4.94,3.33,4.2,3.22,5.32,4.4,4.49,3.22
S067132,UG,Senior,Yes,Male,5.76,5.86,5.46,4.62,5.24,4.29,4.86,4.19,7.0,6.04,4.92,3.9,5.53,4.57,5.61,4.96,4.55,4.18,6.1,5.39,6.7,5.66,6.49,6.01
S015813,UG,Sophomore,No,Male,5.88,4.11,6.3,5.33,5.93,5.71,6.05,5.45,4.91,4.96,5.44,3.66,4.52,4.01,6.55,6.53,5.36,4.62,5.03,4.14,6.29,5.24,5.76,4.22
S401317,UG,Freshman,Yes,Female,5.47,4.07,5.42,5.03,6.44,5.63,5.58,5.19,6.16,5.53,6.28,4.18,5.87,4.47,6.81,6.23,6.78,6.35,5.07,4.73,6.17,5.8,5.94,5.27
S070470,GRAD,Masters,No,Female,5.86,5.71,6.08,5.21,5.34,4.27,5.75,5.38,5.7,5.59,6.48,5.63,4.83,4.15,5.61,5.3,6.91,6.16,6.11,5.58,6.17,5.69,5.18,4.35
S082523,GRAD,Doctoral,No,Female,5.49,4.35,5.59,3.99,4.27,3.13,5.26,4.73,4.77,3.52,6.28,5.08,5.97,5.82,5.91,5.07,6.8,6.29,5.49,4.48,5.98,5.9,6.47,5.5
S692649,GRAD,Doctoral,No,Female,6.07,5.52,5.89,4.75,5.45,5.62,6.75,5.57,6.0,4.8,4.62,4.71,5.95,5.05,5.11,3.59,5.58,4.54,6.25,6.14,6.91,6.54,4.99,2.6
S833311,GRAD,Masters,No,Female,5.48,4.55,5.01,4.78,6.25,5.83,6.32,5.63,6.2,5.85,6.35,4.8,5.14,4.76,5.61,5.68,4.63,3.73,6.43,5.33,5.73,3.95,6.2,4.73
S794224,UG,Freshman,Yes,Female,5.93,5.08,5.75,5.11,6.02,5.76,5.26,5.23,5.34,5.02,4.6,3.51,6.37,5.34,5.58,5.28,4.29,3.21,5.31,4.81,6.05,5.74,6.19,5.14
S158832,UG,Sophomore,Yes,Female,5.68,5.1,3.91,3.61,5.96,5.21,4.9,3.32,6.4,5.93,6.24,5.78,6.18,4.38,5.81,5.39,5.33,5.16,6.18,5.06,4.83,4.73,5.12,4.87
S418466,UG,Senior,No,Male,6.38,5.87,5.59,4.88,5.53,4.39,5.47,4.41,4.7,4.93,5.48,3.96,6.29,5.78,5.9,5.19,5.58,4.85,5.25,3.87,5.21,4.15,6.89,5.92
S243261,GRAD,Doctoral,Yes,Male,5.67,5.41,4.72,4.33,4.93,3.58,5.96,6.06,4.8,4.04,6.12,5.65,5.71,4.94,6.04,5.07,6.48,5.99,7.0,7.0,4.98,4.43,5.84,5.65
S566236,UG,Freshman,Yes,Nonbinary/Other,4.64,4.39,6.42,5.96,6.01,5.56,5.84,5.37,5.78,5.22,4.9,4.43,4.85,5.03,5.84,5.23,6.22,5.29,5.28,4.88,6.46,5.86,6.09,4.98
S711318,UG,Sophomore,No,Male,6.46,5.97,6.17,5.89,5.2,4.55,6.45,5.5,5.72,4.33,6.4,5.27,6.29,5.16,4.97,3.87,5.84,5.33,6.32,5.84,4.17,2.56,4.78,3.81
S741619,UG,Freshman,No,Male,5.16,4.29,5.98,5.14,7.0,5.53,6.17,4.42,5.27,4.92,4.82,4.45,5.54,5.08,5.14,4.55,5.17,3.81,6.21,6.21,5.46,4.28,6.97,6.63
S392316,UG,Sophomore,No,Female,5.31,4.77,6.61,5.99,6.04,4.99,6.28,5.94,6.19,5.6,5.3,3.89,4.87,4.28,5.37,4.36,5.12,3.63,5.89,5.51,3.9,3.27,4.97,4.02
S985824,UG,Freshman,Yes,Male,5.34,4.3,5.13,5.9,5.35,4.02,5.9,4.71,6.02,6.07,5.1,4.93,6.51,6.36,5.53,4.44,5.85,5.65,5.3,3.38,5.2,4.71,6.31,6.04
S542852,UG,Freshman,No,Male,6.52,4.88,6.75,4.82,5.33,4.29,4.87,3.27,6.21,5.82,4.65,4.27,6.96,5.69,6.33,5.8,6.12,5.46,5.61,4.4,5.41,4.76,5.1,4.13
S077870,UG,Freshman,Yes,Female,4.42,4.01,6.26,5.01,5.64,5.52,5.58,5.2,5.63,5.52,5.76,5.51,5.68,4.47,5.0,3.91,5.94,5.5,4.41,2.75,6.53,5.39,5.33,5.06
S303488,UG,Senior,No,Female,7.0,5.98,5.56,4.85,5.56,5.32,6.34,5.57,6.06,4.66,6.78,5.5,7.0,6.08,5.49,4.56,5.08,2.86,5.83,4.52,5.94,5.19,6.17,5.26
S526805,UG,Sophomore,Yes,Male,6.33,5.38,6.38,5.67,6.37,6.45,5.67,5.49,5.43,5.08,7.0,6.61,5.75,5.49,6.27,5.05,6.09,5.61,5.91,5.58,5.2,5.4,6.32,5.24
S228205,UG,Sophomore,No,Female,5.83,4.7,5.04,4.72,5.81,4.58,6.0,5.2,6.93,5.97,5.76,5.53,5.47,3.78,5.52,4.72,5.96,4.22,5.78,5.07,6.34,5.46,4.94,4.06
S584569,GRAD,Masters,No,Male,5.67,4.83,5.21,3.56,5.26,3.87,5.51,4.73,5.21,4.6,6.37,5.87,5.32,4.9,5.98,4.99,5.06,4.89,3.92,2.82,5.71,5.68,6.35,5.75
S769001,UG,Freshman,Yes,Male,5.87,4.8,5.33,3.69,6.83,5.21,5.08,4.05,6.96,6.9,5.84,5.16,6.68,7.0,5.62,4.94,5.23,5.02,4.94,4.02,5.72,3.93,6.33,5.53
S197531,UG,Sophomore,No,Female,6.01,4.87,5.38,4.4,5.73,4.41,5.63,4.18,5.72,4.91,6.0,5.69,5.23,4.1,5.85,5.0,6.11,5.56,5.25,4.64,4.98,4.56,5.14,3.89
S490137,GRAD,Masters,Yes,Female,6.09,6.11,5.07,3.95,6.16,4.98,5.89,5.66,4.87,3.98,5.49,5.47,6.14,6.09,5.56,4.83,5.56,5.38,5.87,6.03,5.11,4.59,6.66,6.61
S998335,UG,Freshman,No,Female,6.03,4.7,6.43,5.45,5.34,4.73,5.31,5.39,6.52,6.22,5.82,3.86,5.36,3.97,6.1,4.93,6.65,5.89,5.87,3.33,5.2,4.18,4.83,3.8
S099004,GRAD,Masters,No,Female,5.75,4.51,5.54,5.41,5.92,5.7,5.56,4.77,5.78,4.57,6.02,5.65,5.42,4.81,4.77,4.6,6.0,5.56,5.6,4.87,5.73,5.07,5.33,3.87
S394319,UG,Freshman,Yes,Female,5.58,5.26,5.91,5.42,5.89,4.76,5.14,4.29,6.21,5.94,5.35,4.81,6.32,5.32,5.48,4.07,5.41,5.12,6.08,5.54,5.75,5.19,5.99,5.0
S263198,UG,Sophomore,No,Male,5.61,4.69,5.36,4.39,4.57,3.46,6.37,5.35,6.43,5.78,5.65,4.94,5.47,3.87,5.88,5.91,5.69,4.21,5.08,4.13,6.63,5.52,5.19,4.26
S643273,UG,Freshman,No,Female,5.58,4.34,4.61,3.93,6.91,5.96,5.52,4.79,5.9,4.74,5.66,4.98,5.46,5.16,6.02,5.46,5.74,4.23,6.07,5.29,5.93,4.27,5.86,4.64
S326913,UG,Junior,Yes,Female,6.38,5.78,5.86,5.27,6.47,5.58,6.57,5.81,5.34,4.98,6.2,5.19,6.38,5.96,6.6,5.94,5.26,4.09,5.98,5.22,4.08,2.99,5.84,4.92
S444123,UG,Freshman,Yes,Female,6.06,4.82,4.55,3.9,5.46,4.6,6.62,5.16,6.29,5.57,5.06,3.89,6.66,6.0,5.47,4.56,5.15,4.19,5.93,4.58,5.86,4.42,5.59,4.51
S809846,UG,Sophomore,No,Male,3.94,1.85,5.66,4.8,5.04,3.5,5.65,4.56,5.7,4.96,5.67,4.92,6.09,4.42,6.59,4.9,6.12,5.17,5.59,4.75,4.83,4.45,6.2,6.31
S431357,GRAD,Masters,No,Female,6.09,5.69,4.88,4.05,5.91,4.46,5.09,4.48,6.11,5.25,6.85,6.67,5.31,4.84,5.3,5.43,6.21,5.66,6.8,6.58,5.12,4.16,5.56,5.54
S238426,UG,Senior,No,Female,5.82,5.61,6.89,6.52,5.75,4.58,4.45,3.8,4.41,4.7,6.4,4.86,5.39,4.79,6.5,5.85,6.06,5.64,6.0,5.18,5.21,4.24,5.84,4.44
S569910,GRAD,Masters,No,Male,5.69,4.74,6.25,5.81,5.91,4.69,4.82,4.1,5.97,6.08,6.51,5.76,5.75,4.71,6.19,6.45,6.61,5.63,5.12,4.55,5.3,4.33,6.39,6.34
S329636,UG,Junior,Yes,Male,5.47,4.41,5.76,5.71,5.81,4.86,4.88,3.36,5.32,4.31,5.71,4.15,5.89,5.48,5.15,4.44,5.37,5.26,5.85,4.44,4.87,3.49,6.17,5.27
S182962,GRAD,Masters,No,Female,6.37,5.69,6.46,5.17,6.0,5.43,6.53,5.82,6.69,5.37,5.89,6.22,5.11,4.23,5.88,4.95,6.7,6.4,6.15,4.77,5.82,5.13,6.17,5.55
S679972,UG,Senior,Yes,Male,6.27,4.84,5.19,5.55,6.57,5.49,5.77,5.08,6.07,5.83,6.3,5.5,6.13,6.21,5.67,4.17,5.16,3.88,5.35,4.59,4.85,4.36,5.01,4.81
S959480,UG,Freshman,Yes,Female,5.24,5.21,6.03,4.75,6.04,6.04,5.93,5.47,5.84,5.27,6.64,4.98,5.75,3.94,6.08,5.32,5.09,3.44,6.35,6.29,5.91,4.95,6.01,5.14
S513866,UG,Freshman,Yes,Female,5.94,4.9,5.82,4.43,5.07,3.84,4.37,3.12,5.99,5.14,4.53,4.01,4.67,4.64,5.57,4.34,4.64,3.75,5.93,5.84,7.0,7.0,5.17,4.37
S988558,UG,Sophomore,Yes,Female,5.12,4.72,5.86,5.31,6.52,6.41,4.98,3.3,5.1,4.05,4.91,4.32,5.14,4.6,5.52,4.52,5.43,4.18,4.29,3.59,4.9,4.32,4.93,3.18
S414050,GRAD,Masters,Yes,Female,4.87,3.41,6.46,7.0,6.68,5.94,6.23,5.41,6.67,7.0,6.49,5.74,5.4,4.81,6.52,6.14,5.4,4.92,5.88,5.11,5.53,5.0,5.66,5.37
S202693,UG,Freshman,Yes,Male,5.32,3.63,6.14,5.62,7.0,6.72,5.87,5.13,6.89,6.64,5.53,5.11,5.66,4.0,5.64,5.65,6.02,5.98,5.46,4.94,4.19,3.95,5.16,3.74
S241715,UG,Senior,No,Female,6.22,5.7,5.87,5.01,5.03,3.85,5.61,4.69,5.94,5.2,5.3,4.55,6.83,6.6,6.2,5.16,5.85,4.64,6.02,5.36,5.52,4.09,6.17,5.1
